checks,comments,commits,dateLastComment,dateOpened,filesChanged,issue,issueHref,issueId,issueStatus,linesChanged,repoCommits,repoForks,repoHref,repoInfo,repoName,repoOwner,repoStargazers,repoTags,repoWatchers
,,,2019-10-05T22:10:40Z,2019-10-05T22:10:39Z,,"
        [FEATURE] TensorFlow 2.0
      ",https://github.com/microsoft/recommenders/issues/953,#953,Status: Open,,"
              5,008
            ","
      849
    ",https://github.com/microsoft/recommenders,"
          Best Practices on Recommendation Systems
        ",recommenders,microsoft,"
      6,356
    ","Topic: machine-learning,Topic: recommender,Topic: ranking,Topic: deep-learning,Topic: python,Topic: jupyter-notebook,Topic: recommendation-algorithm,Topic: rating,Topic: operationalization,Topic: kubernetes,Topic: azure,Topic: microsoft,Topic: recommendation-system,Topic: recommendation-engine,Topic: recommendation,Topic: data-science,Topic: tutorial,Topic: artificial-intelligence","
      213
    "
,,,2019-10-17T15:33:03Z,2019-10-11T05:48:11Z,,"
        Update to tensorflow 2.0
      ",https://github.com/jupyter/docker-stacks/issues/948,#948,Status: Open,,"
              1,172
            ","
      1,718
    ",https://github.com/jupyter/docker-stacks,"
          Ready-to-run Docker images containing Jupyter applications
        ",docker-stacks,jupyter,"
      4,413
    ","Topic: notebook,Topic: jupyter,Topic: docker,Topic: jupyterhub","
      188
    "
,,,2019-10-08T18:11:02Z,2019-10-01T03:49:55Z,,"
        Example using tensorflow API
      ",https://github.com/sherpa-ai/sherpa/issues/66,#66,Status: Open,,"
              759
            ","
      19
    ",https://github.com/sherpa-ai/sherpa,"
          Hyperparameter optimization that enables researchers to experiment, visualize, and scale quickly.
        ",sherpa,sherpa-ai,"
      166
    ","Topic: hyperparameter-optimization,Topic: deep-learning,Topic: bayesian-optimization,Topic: keras,Topic: hyperparameter-tuning,Topic: hyperparameter-search,Topic: hyperparameter-grid,Topic: machine-learning,Topic: machine-learning-library","
      7
    "
"
        1
      ",,"
          0
        ",2019-10-23T14:31:05Z,2019-10-23T14:31:03Z,,"
        Bump tensorflow from 1.0.0 to 1.12.2 in /tensorflow/intro-to-tensorflow
      ",https://github.com/nomanarshad94/-udacity-deep-learning-v2-pytorch-untouched/pull/1,#1,Status: Open,,"
              202
            ","
      0
    ",https://github.com/nomanarshad94/-udacity-deep-learning-v2-pytorch-untouched,,-udacity-deep-learning-v2-pytorch-untouched,nomanarshad94,"
      0
    ",,"
      1
    "
,,,2019-10-22T11:39:55Z,2019-10-22T11:39:55Z,,"
        Tensorflow 2 GPU Config error
      ",https://github.com/horovod/horovod/issues/1458,#1458,Status: Open,,"
              422
            ","
      1,210
    ",https://github.com/horovod/horovod,"
          Distributed training framework for TensorFlow, Keras, PyTorch, and Apache MXNet.
        ",horovod,horovod,"
      7,752
    ","Topic: tensorflow,Topic: uber,Topic: machine-learning,Topic: machinelearning,Topic: mpi,Topic: baidu,Topic: deep-learning,Topic: deeplearning,Topic: keras,Topic: pytorch,Topic: mxnet","
      303
    "
,,,,2019-10-01T06:34:20Z,,"
        TensorFlow examples do not work with TensorFlow==2.0.0.
      ",https://github.com/pfnet/optuna/issues/565,#565,Status: Open,,"
              2,684
            ","
      126
    ",https://github.com/pfnet/optuna,"
          A hyperparameter optimization framework
        ",optuna,pfnet,"
      1,279
    ","Topic: python,Topic: machine-learning,Topic: parallel,Topic: distributed,Topic: hyperparameter-optimization","
      125
    "
"
        1
      ",,"
          0
        ",,2019-10-16T18:11:17Z,,"
        Added a terminology tensorflow
      ",https://github.com/cho0o0/Jargon-Terms-Explained/pull/9,#9,Status: Open,,"
              40
            ","
      20
    ",https://github.com/cho0o0/Jargon-Terms-Explained,"
          A collection of articles which explain terminology neatly
        ",Jargon-Terms-Explained,cho0o0,"
      4
    ",,"
      1
    "
,,,2019-10-25T12:10:20Z,2019-10-25T01:34:05Z,,"
        [Train SCNN-TensorFlow] : <class 'tensorflow.python.framework.errors_impl.CancelledError'>, Enqueue operation was cancelled.
      ",https://github.com/cardwing/Codes-for-Lane-Detection/issues/175,#175,Status: Open,,"
              253
            ","
      150
    ",https://github.com/cardwing/Codes-for-Lane-Detection,"
          Learning Lightweight Lane Detection CNNs by Self Attention Distillation (ICCV 2019)
        ",Codes-for-Lane-Detection,cardwing,"
      440
    ","Topic: lane-detection,Topic: deep-learning,Topic: lua,Topic: tensorflow,Topic: cnn,Topic: pytorch","
      26
    "
,,,,2019-10-13T22:14:08Z,,"
        Monitor is DOWN: tensorflow
      ",https://github.com/Dallas-Makerspace/tracker/issues/620,#620,Status: Open,,"
              25
            ","
      2
    ",https://github.com/Dallas-Makerspace/tracker,"
          Infrastructure Issue tracker for change items
        ",tracker,Dallas-Makerspace,"
      0
    ","Topic: itil,Topic: issue,Topic: tracking","
      7
    "
"
        15
      ",,"
          0
        ",,2019-10-07T17:07:21Z,,"
        Try setting up tensorflow
      ",https://github.com/tidymodels/tidymodels/pull/18,#18,Status: Open,,"
              68
            ","
      21
    ",https://github.com/tidymodels/tidymodels,"
          Easily Install and Load the 'Tidymodels' Packages
        ",tidymodels,tidymodels,"
      211
    ",,"
      18
    "
,,,2019-10-23T12:28:36Z,2019-10-23T12:21:38Z,,"
        Compatibility with tensorflow 1.14
      ",https://github.com/skokec/segdec-net-jim2019/issues/13,#13,Status: Open,,"
              6
            ","
      9
    ",https://github.com/skokec/segdec-net-jim2019,"
          Surface Defect Detection with Segmentation-Decision Network on KolektorSDD
        ",segdec-net-jim2019,skokec,"
      21
    ",,"
      2
    "
"
        1
      ",,"
          0
        ",,2019-10-27T01:50:45Z,,"
        Update tensorflow/tensorflow Docker tag to v1.15.0
      ",https://github.com/dotmesh-io/jupyterlab-tensorflow/pull/38,#38,Status: Open,,"
              192
            ","
      1
    ",https://github.com/dotmesh-io/jupyterlab-tensorflow,"
          jupyterlab with tensorflow and the dotmesh jupyterlab extension
        ",jupyterlab-tensorflow,dotmesh-io,"
      5
    ",,"
      4
    "
,,,2019-10-11T23:26:23Z,2019-10-11T23:26:23Z,,"
        Expose TensorFlow version
      ",https://github.com/losttech/Gradient/issues/18,#18,Status: Open,,"
              32
            ","
      2
    ",https://github.com/losttech/Gradient,"
          This repository serves as a public issue tracker and documentation host for Gradient, full TensorFlow binding for .NET
        ",Gradient,losttech,"
      81
    ",,"
      5
    "
"
        1
      ",,"
          0
        ",,2019-10-19T01:06:56Z,,"
        [ImgBot] Optimize images
      ",https://github.com/hustcxl/tensorflow/pull/1,#1,Status: Open,,"
              50,826
            ","
      78,153
    ",https://github.com/hustcxl/tensorflow,"
          An Open Source Machine Learning Framework for Everyone
        ",tensorflow,hustcxl,"
      0
    ",,"
      0
    "
"
        1
      ","
            2
        ","
          2
        ",2019-10-25T14:53:22Z,2019-10-24T11:59:17Z,"
            2
        ","
        compatibility with tensorflow 2.0
      ",https://github.com/matterport/Mask_RCNN/pull/1817,#1817,Status: Open,16 lines changed,"
              203
            ","
      6,617
    ",https://github.com/matterport/Mask_RCNN,"
          Mask R-CNN for object detection and instance segmentation on Keras and TensorFlow
        ",Mask_RCNN,matterport,"
      14,516
    ","Topic: mask-rcnn,Topic: tensorflow,Topic: object-detection,Topic: instance-segmentation,Topic: keras","
      549
    "
,,,2019-10-11T18:55:58Z,2019-10-10T18:29:30Z,,"
        Remove TensorFlow Serving [1]
      ",https://github.com/cortexlabs/cortex/issues/505,#505,Status: Open,,"
              686
            ","
      67
    ",https://github.com/cortexlabs/cortex,"
          Deploy machine learning models in production
        ",cortex,cortexlabs,"
      1,405
    ","Topic: machine-learning,Topic: deep-learning,Topic: deployment,Topic: aws","
      34
    "
"
        1
      ",,"
          0
        ",2019-10-15T13:26:45Z,2019-10-15T13:26:44Z,,"
        Bump tensorflow from 1.0.0 to 1.12.2 in /tensorflow/intro-to-tensorflow
      ",https://github.com/charlescirotteau/Dog_Breed_Classifier_Project/pull/1,#1,Status: Open,,"
              202
            ","
      0
    ",https://github.com/charlescirotteau/Dog_Breed_Classifier_Project,,Dog_Breed_Classifier_Project,charlescirotteau,"
      0
    ",,"
      1
    "
,,,,2019-10-24T08:58:41Z,,"
        Tensorflow version pruner not working
      ",https://github.com/microsoft/nni/issues/1652,#1652,Status: Open,,"
              1,049
            ","
      475
    ",https://github.com/microsoft/nni,"
          An open source AutoML toolkit for neural architecture search and hyper-parameter tuning.
        ",nni,microsoft,"
      3,466
    ","Topic: automl,Topic: deep-learning,Topic: neural-architecture-search,Topic: hyperparameter-optimization,Topic: distributed,Topic: bayesian-optimization,Topic: python,Topic: automated-machine-learning,Topic: gpu,Topic: hyper-parameter-tuning","
      133
    "
,,,2019-10-20T09:28:41Z,2019-10-20T09:27:51Z,,"
        remove tensorflow from requirements
      ",https://github.com/autonomio/signs/issues/5,#5,Status: Open,,"
              71
            ","
      1
    ",https://github.com/autonomio/signs,"
          A suite of tools for text preparation, vectorization and processing for deep learning with Keras.
        ",signs,autonomio,"
      10
    ","Topic: gensim,Topic: spacy,Topic: keras,Topic: fasttext,Topic: glove,Topic: word2vec,Topic: embeddings","
      2
    "
"
        1
      ","
            1
        ","
          7
        ",2019-10-25T09:32:30Z,2019-10-25T09:32:30Z,"
            1
        ","
        Updated TensorFlow India Community URL
      ",https://github.com/tensorflow/docs/pull/1135,#1135,Status: Open,2 lines changed,"
              6,570
            ","
      2,472
    ",https://github.com/tensorflow/docs,"
          TensorFlow documentation
        ",docs,tensorflow,"
      2,342
    ","Topic: tensorflow,Topic: tensorflow-tutorials,Topic: tensorflow-examples,Topic: documentation,Topic: machine-learning,Topic: deep-learning,Topic: deep-neural-networks","
      150
    "
,,,,2019-10-12T10:24:10Z,,"
        tensorflow 2.0 support?
      ",https://github.com/policeme/DGCNN/issues/1,#1,Status: Open,,"
              47
            ","
      3
    ",https://github.com/policeme/DGCNN,"
          Dilation Gate CNN For Machine Reading Comprehension
        ",DGCNN,policeme,"
      6
    ","Topic: tensorflow,Topic: natural-language-processing,Topic: reading-comprehension,Topic: deep-learning,Topic: bert-embeddings","
      0
    "
